"x' (mrad)"	"y' (mrad)"	"Power Density (kW/mm<sup>2</sup>)"
8.00000e-1	-2.00000e-1	1.98851e-4
1.20000e+0	-2.00000e-1	2.04842e-4
1.60000e+0	-2.00000e-1	2.09623e-4
2.00000e+0	-2.00000e-1	2.12561e-4
2.40000e+0	-2.00000e-1	2.12821e-4
2.80000e+0	-2.00000e-1	2.10311e-4
3.20000e+0	-2.00000e-1	2.06855e-4
3.60000e+0	-2.00000e-1	2.02109e-4
4.00000e+0	-2.00000e-1	2.00426e-4
4.40000e+0	-2.00000e-1	1.88937e-4
4.80000e+0	-2.00000e-1	1.83673e-4
5.20000e+0	-2.00000e-1	1.77145e-4
5.60000e+0	-2.00000e-1	1.70603e-4
6.00000e+0	-2.00000e-1	1.64031e-4
6.40000e+0	-2.00000e-1	1.57249e-4
6.80000e+0	-2.00000e-1	1.50164e-4
7.20000e+0	-2.00000e-1	1.42579e-4
7.60000e+0	-2.00000e-1	1.33158e-4
8.00000e+0	-2.00000e-1	1.37785e-4
8.40000e+0	-2.00000e-1	7.16758e-5
8.80000e+0	-2.00000e-1	6.22435e-5
9.20000e+0	-2.00000e-1	6.70575e-5
9.60000e+0	-2.00000e-1	5.96966e-5
1.00000e+1	-2.00000e-1	2.58532e-5
0.00000e+0	-1.95000e-1	2.02350e-4
4.00000e-1	-1.95000e-1	2.06030e-4
8.00000e-1	-1.95000e-1	2.12547e-4
1.20000e+0	-1.95000e-1	2.18956e-4
1.60000e+0	-1.95000e-1	2.24051e-4
2.00000e+0	-1.95000e-1	2.26759e-4
2.40000e+0	-1.95000e-1	2.27344e-4
2.80000e+0	-1.95000e-1	2.24950e-4
3.20000e+0	-1.95000e-1	2.21130e-4
3.60000e+0	-1.95000e-1	2.16044e-4
4.00000e+0	-1.95000e-1	2.09895e-4
4.40000e+0	-1.95000e-1	2.03285e-4
4.80000e+0	-1.95000e-1	1.96329e-4
5.20000e+0	-1.95000e-1	1.89349e-4
5.60000e+0	-1.95000e-1	1.82359e-4
6.00000e+0	-1.95000e-1	1.75335e-4
6.40000e+0	-1.95000e-1	1.68086e-4
6.80000e+0	-1.95000e-1	1.60514e-4
7.20000e+0	-1.95000e-1	1.52407e-4
7.60000e+0	-1.95000e-1	1.42520e-4
8.00000e+0	-1.95000e-1	1.45179e-4
8.40000e+0	-1.95000e-1	8.34877e-5
8.80000e+0	-1.95000e-1	7.26265e-5
9.20000e+0	-1.95000e-1	7.41579e-5
9.60000e+0	-1.95000e-1	6.38695e-5
1.00000e+1	-1.95000e-1	2.76590e-5
0.00000e+0	-1.90000e-1	2.16230e-4
4.00000e-1	-1.90000e-1	2.20179e-4
8.00000e-1	-1.90000e-1	2.27147e-4
1.20000e+0	-1.90000e-1	2.34002e-4
1.60000e+0	-1.90000e-1	2.39422e-4
2.00000e+0	-1.90000e-1	2.41696e-4
2.40000e+0	-1.90000e-1	2.42784e-4
2.80000e+0	-1.90000e-1	2.40618e-4
3.20000e+0	-1.90000e-1	2.36356e-4
3.60000e+0	-1.90000e-1	2.30902e-4
4.00000e+0	-1.90000e-1	2.18081e-4
4.40000e+0	-1.90000e-1	2.19165e-4
4.80000e+0	-1.90000e-1	2.09820e-4
5.20000e+0	-1.90000e-1	2.02358e-4
5.60000e+0	-1.90000e-1	1.94892e-4
6.00000e+0	-1.90000e-1	1.87386e-4
6.40000e+0	-1.90000e-1	1.79640e-4
6.80000e+0	-1.90000e-1	1.71546e-4
7.20000e+0	-1.90000e-1	1.62885e-4
7.60000e+0	-1.90000e-1	1.52669e-4
8.00000e+0	-1.90000e-1	1.51121e-4
8.40000e+0	-1.90000e-1	1.02413e-4
8.80000e+0	-1.90000e-1	8.93673e-5
9.20000e+0	-1.90000e-1	8.40497e-5
9.60000e+0	-1.90000e-1	6.83564e-5
1.00000e+1	-1.90000e-1	2.95941e-5
0.00000e+0	-1.85000e-1	2.31026e-4
4.00000e-1	-1.85000e-1	2.35261e-4
8.00000e-1	-1.85000e-1	2.42710e-4
1.20000e+0	-1.85000e-1	2.50040e-4
1.60000e+0	-1.85000e-1	2.55810e-4
2.00000e+0	-1.85000e-1	2.57662e-4
2.40000e+0	-1.85000e-1	2.59334e-4
2.80000e+0	-1.85000e-1	2.57307e-4
3.20000e+0	-1.85000e-1	2.52586e-4
3.60000e+0	-1.85000e-1	2.46741e-4
4.00000e+0	-1.85000e-1	2.27226e-4
4.40000e+0	-1.85000e-1	2.35965e-4
4.80000e+0	-1.85000e-1	2.24202e-4
5.20000e+0	-1.85000e-1	2.16226e-4
5.60000e+0	-1.85000e-1	2.08252e-4
6.00000e+0	-1.85000e-1	2.00233e-4
6.40000e+0	-1.85000e-1	1.91956e-4
6.80000e+0	-1.85000e-1	1.83308e-4
7.20000e+0	-1.85000e-1	1.74054e-4
7.60000e+0	-1.85000e-1	1.63550e-4
8.00000e+0	-1.85000e-1	1.56754e-4
8.40000e+0	-1.85000e-1	1.24889e-4
8.80000e+0	-1.85000e-1	1.09358e-4
9.20000e+0	-1.85000e-1	9.55041e-5
9.60000e+0	-1.85000e-1	7.31581e-5
1.00000e+1	-1.85000e-1	3.16424e-5
0.00000e+0	-1.80000e-1	2.46802e-4
4.00000e-1	-1.80000e-1	2.51342e-4
8.00000e-1	-1.80000e-1	2.59304e-4
1.20000e+0	-1.80000e-1	2.67142e-4
1.60000e+0	-1.80000e-1	2.73299e-4
2.00000e+0	-1.80000e-1	2.75025e-4
2.40000e+0	-1.80000e-1	2.77231e-4
2.80000e+0	-1.80000e-1	2.74994e-4
3.20000e+0	-1.80000e-1	2.69876e-4
3.60000e+0	-1.80000e-1	2.63625e-4
4.00000e+0	-1.80000e-1	2.40226e-4
4.40000e+0	-1.80000e-1	2.52886e-4
4.80000e+0	-1.80000e-1	2.39538e-4
5.20000e+0	-1.80000e-1	2.31015e-4
5.60000e+0	-1.80000e-1	2.22498e-4
6.00000e+0	-1.80000e-1	2.13931e-4
6.40000e+0	-1.80000e-1	2.05088e-4
6.80000e+0	-1.80000e-1	1.95849e-4
7.20000e+0	-1.80000e-1	1.85965e-4
7.60000e+0	-1.80000e-1	1.75080e-4
8.00000e+0	-1.80000e-1	1.63613e-4
8.40000e+0	-1.80000e-1	1.46097e-4
8.80000e+0	-1.80000e-1	1.28387e-4
9.20000e+0	-1.80000e-1	1.06850e-4
9.60000e+0	-1.80000e-1	7.82710e-5
1.00000e+1	-1.80000e-1	3.37819e-5
0.00000e+0	-1.75000e-1	2.63620e-4
4.00000e-1	-1.75000e-1	2.68485e-4
8.00000e-1	-1.75000e-1	2.76994e-4
1.20000e+0	-1.75000e-1	2.85374e-4
1.60000e+0	-1.75000e-1	2.91967e-4
2.00000e+0	-1.75000e-1	2.94090e-4
2.40000e+0	-1.75000e-1	2.96628e-4
2.80000e+0	-1.75000e-1	2.93673e-4
3.20000e+0	-1.75000e-1	2.88286e-4
3.60000e+0	-1.75000e-1	2.81616e-4
4.00000e+0	-1.75000e-1	2.59397e-4
4.40000e+0	-1.75000e-1	2.69300e-4
4.80000e+0	-1.75000e-1	2.55889e-4
5.20000e+0	-1.75000e-1	2.46786e-4
5.60000e+0	-1.75000e-1	2.37687e-4
6.00000e+0	-1.75000e-1	2.28536e-4
6.40000e+0	-1.75000e-1	2.19089e-4
6.80000e+0	-1.75000e-1	2.09221e-4
7.20000e+0	-1.75000e-1	1.98663e-4
7.60000e+0	-1.75000e-1	1.87193e-4
8.00000e+0	-1.75000e-1	1.72999e-4
8.40000e+0	-1.75000e-1	1.61964e-4
8.80000e+0	-1.75000e-1	1.42851e-4
9.20000e+0	-1.75000e-1	1.16642e-4
9.60000e+0	-1.75000e-1	8.36926e-5
1.00000e+1	-1.75000e-1	3.60049e-5
0.00000e+0	-1.70000e-1	2.81528e-4
4.00000e-1	-1.70000e-1	2.86739e-4
8.00000e-1	-1.70000e-1	2.95831e-4
1.20000e+0	-1.70000e-1	3.04790e-4
1.60000e+0	-1.70000e-1	3.11862e-4
2.00000e+0	-1.70000e-1	3.14785e-4
2.40000e+0	-1.70000e-1	3.17190e-4
2.80000e+0	-1.70000e-1	3.13441e-4
3.20000e+0	-1.70000e-1	3.07873e-4
3.60000e+0	-1.70000e-1	3.00771e-4
4.00000e+0	-1.70000e-1	2.83576e-4
4.40000e+0	-1.70000e-1	2.85628e-4
4.80000e+0	-1.70000e-1	2.73303e-4
5.20000e+0	-1.70000e-1	2.63583e-4
5.60000e+0	-1.70000e-1	2.53861e-4
6.00000e+0	-1.70000e-1	2.44089e-4
6.40000e+0	-1.70000e-1	2.34000e-4
6.80000e+0	-1.70000e-1	2.23461e-4
7.20000e+0	-1.70000e-1	2.12185e-4
7.60000e+0	-1.70000e-1	1.99935e-4
8.00000e+0	-1.70000e-1	1.84803e-4
8.40000e+0	-1.70000e-1	1.72950e-4
8.80000e+0	-1.70000e-1	1.52861e-4
9.20000e+0	-1.70000e-1	1.24826e-4
9.60000e+0	-1.70000e-1	8.94279e-5
1.00000e+1	-1.70000e-1	3.83858e-5
0.00000e+0	-1.65000e-1	3.00566e-4
4.00000e-1	-1.65000e-1	3.06146e-4
8.00000e-1	-1.65000e-1	3.15858e-4
1.20000e+0	-1.65000e-1	3.25433e-4
1.60000e+0	-1.65000e-1	3.33017e-4
2.00000e+0	-1.65000e-1	3.36824e-4
2.40000e+0	-1.65000e-1	3.38302e-4
2.80000e+0	-1.65000e-1	3.34450e-4
3.20000e+0	-1.65000e-1	3.28700e-4
3.60000e+0	-1.65000e-1	3.21136e-4
4.00000e+0	-1.65000e-1	3.09618e-4
4.40000e+0	-1.65000e-1	3.02885e-4
4.80000e+0	-1.65000e-1	2.91820e-4
5.20000e+0	-1.65000e-1	2.81444e-4
5.60000e+0	-1.65000e-1	2.71060e-4
6.00000e+0	-1.65000e-1	2.60626e-4
6.40000e+0	-1.65000e-1	2.49855e-4
6.80000e+0	-1.65000e-1	2.38603e-4
7.20000e+0	-1.65000e-1	2.26564e-4
7.60000e+0	-1.65000e-1	2.13417e-4
8.00000e+0	-1.65000e-1	1.98113e-4
8.40000e+0	-1.65000e-1	1.82091e-4
8.80000e+0	-1.65000e-1	1.60635e-4
9.20000e+0	-1.65000e-1	1.32134e-4
9.60000e+0	-1.65000e-1	9.54858e-5
1.00000e+1	-1.65000e-1	4.10461e-5
0.00000e+0	-1.60000e-1	3.20771e-4
4.00000e-1	-1.60000e-1	3.26748e-4
8.00000e-1	-1.60000e-1	3.37117e-4
1.20000e+0	-1.60000e-1	3.47348e-4
1.60000e+0	-1.60000e-1	3.55461e-4
2.00000e+0	-1.60000e-1	3.59933e-4
2.40000e+0	-1.60000e-1	3.59420e-4
2.80000e+0	-1.60000e-1	3.56848e-4
3.20000e+0	-1.60000e-1	3.50824e-4
3.60000e+0	-1.60000e-1	3.42761e-4
4.00000e+0	-1.60000e-1	3.34498e-4
4.40000e+0	-1.60000e-1	3.22051e-4
4.80000e+0	-1.60000e-1	3.11477e-4
5.20000e+0	-1.60000e-1	3.00404e-4
5.60000e+0	-1.60000e-1	2.89319e-4
6.00000e+0	-1.60000e-1	2.78184e-4
6.40000e+0	-1.60000e-1	2.66688e-4
6.80000e+0	-1.60000e-1	2.54678e-4
7.20000e+0	-1.60000e-1	2.41830e-4
7.60000e+0	-1.60000e-1	2.27743e-4
8.00000e+0	-1.60000e-1	2.12035e-4
8.40000e+0	-1.60000e-1	1.92364e-4
8.80000e+0	-1.60000e-1	1.68403e-4
9.20000e+0	-1.60000e-1	1.39346e-4
9.60000e+0	-1.60000e-1	1.01877e-4
1.00000e+1	-1.60000e-1	4.40982e-5
0.00000e+0	-1.55000e-1	3.42181e-4
4.00000e-1	-1.55000e-1	3.48582e-4
8.00000e-1	-1.55000e-1	3.59646e-4
1.20000e+0	-1.55000e-1	3.70572e-4
1.60000e+0	-1.55000e-1	3.79232e-4
2.00000e+0	-1.55000e-1	3.84068e-4
2.40000e+0	-1.55000e-1	3.80932e-4
2.80000e+0	-1.55000e-1	3.80700e-4
3.20000e+0	-1.55000e-1	3.74288e-4
3.60000e+0	-1.55000e-1	3.65685e-4
4.00000e+0	-1.55000e-1	3.57451e-4
4.40000e+0	-1.55000e-1	3.43407e-4
4.80000e+0	-1.55000e-1	3.32310e-4
5.20000e+0	-1.55000e-1	3.20496e-4
5.60000e+0	-1.55000e-1	3.08671e-4
6.00000e+0	-1.55000e-1	2.96792e-4
6.40000e+0	-1.55000e-1	2.84527e-4
6.80000e+0	-1.55000e-1	2.71716e-4
7.20000e+0	-1.55000e-1	2.58009e-4
7.60000e+0	-1.55000e-1	2.42970e-4
8.00000e+0	-1.55000e-1	2.26253e-4
8.40000e+0	-1.55000e-1	2.04927e-4
8.80000e+0	-1.55000e-1	1.77594e-4
9.20000e+0	-1.55000e-1	1.47495e-4
9.60000e+0	-1.55000e-1	1.08626e-4
1.00000e+1	-1.55000e-1	4.75250e-5
0.00000e+0	-1.50000e-1	3.64830e-4
4.00000e-1	-1.50000e-1	3.71677e-4
8.00000e-1	-1.50000e-1	3.83477e-4
1.20000e+0	-1.50000e-1	3.95139e-4
1.60000e+0	-1.50000e-1	4.04373e-4
2.00000e+0	-1.50000e-1	4.09415e-4
2.40000e+0	-1.50000e-1	4.04165e-4
2.80000e+0	-1.50000e-1	4.05990e-4
3.20000e+0	-1.50000e-1	3.99116e-4
3.60000e+0	-1.50000e-1	3.89939e-4
4.00000e+0	-1.50000e-1	3.79971e-4
4.40000e+0	-1.50000e-1	3.66544e-4
4.80000e+0	-1.50000e-1	3.54347e-4
5.20000e+0	-1.50000e-1	3.41749e-4
5.60000e+0	-1.50000e-1	3.29142e-4
6.00000e+0	-1.50000e-1	3.16476e-4
6.40000e+0	-1.50000e-1	3.03399e-4
6.80000e+0	-1.50000e-1	2.89739e-4
7.20000e+0	-1.50000e-1	2.75124e-4
7.60000e+0	-1.50000e-1	2.59103e-4
8.00000e+0	-1.50000e-1	2.41028e-4
8.40000e+0	-1.50000e-1	2.19124e-4
8.80000e+0	-1.50000e-1	1.88843e-4
9.20000e+0	-1.50000e-1	1.57857e-4
9.60000e+0	-1.50000e-1	1.15775e-4
1.00000e+1	-1.50000e-1	5.11801e-5
0.00000e+0	-1.45000e-1	3.88751e-4
4.00000e-1	-1.45000e-1	3.96065e-4
8.00000e-1	-1.45000e-1	4.08641e-4
1.20000e+0	-1.45000e-1	4.21081e-4
1.60000e+0	-1.45000e-1	4.30925e-4
2.00000e+0	-1.45000e-1	4.36176e-4
2.40000e+0	-1.45000e-1	4.30490e-4
2.80000e+0	-1.45000e-1	4.32696e-4
