"Energy (eV)"	"Flux Density (ph/s/mm<sup>2</sup>/0.1%B.W.)"
1.00664e+2	8.33968e+10
1.01707e+2	8.37167e+10
1.02761e+2	8.40442e+10
1.03826e+2	8.43792e+10
1.04902e+2	8.47216e+10
1.05989e+2	8.50710e+10
1.07087e+2	8.54275e+10
1.08197e+2	8.57906e+10
1.09318e+2	8.61604e+10
1.10451e+2	8.65367e+10
1.11595e+2	8.69192e+10
1.12752e+2	8.73077e+10
1.13920e+2	8.77022e+10
1.15101e+2	8.81025e+10
1.16293e+2	8.85083e+10
1.17498e+2	8.89195e+10
1.18716e+2	8.93359e+10
1.19946e+2	8.97574e+10
1.21189e+2	9.01838e+10
1.22445e+2	9.06150e+10
1.23714e+2	9.10507e+10
1.24996e+2	9.14909e+10
1.26291e+2	9.19353e+10
1.27599e+2	9.23839e+10
1.28922e+2	9.28364e+10
1.30258e+2	9.32927e+10
1.31607e+2	9.37527e+10
1.32971e+2	9.42162e+10
1.34349e+2	9.46831e+10
1.35741e+2	9.51532e+10
1.37148e+2	9.56264e+10
1.38569e+2	9.61025e+10
1.40005e+2	9.65815e+10
1.41456e+2	9.70632e+10
1.42921e+2	9.75474e+10
1.44402e+2	9.80340e+10
1.45899e+2	9.85230e+10
1.47411e+2	9.90141e+10
1.48938e+2	9.95073e+10
1.50481e+2	1.00002e+11
1.52041e+2	1.00499e+11
1.53616e+2	1.00998e+11
1.55208e+2	1.01498e+11
1.56816e+2	1.02000e+11
1.58441e+2	1.02503e+11
1.60083e+2	1.03008e+11
1.61742e+2	1.03513e+11
1.63418e+2	1.04020e+11
1.65111e+2	1.04527e+11
1.66822e+2	1.05036e+11
1.68551e+2	1.05545e+11
1.70298e+2	1.06055e+11
1.72062e+2	1.06565e+11
1.73845e+2	1.07076e+11
1.75647e+2	1.07587e+11
1.77467e+2	1.08098e+11
1.79306e+2	1.08610e+11
1.81164e+2	1.09122e+11
1.83041e+2	1.09633e+11
1.84938e+2	1.10145e+11
1.86854e+2	1.10656e+11
1.88790e+2	1.11167e+11
1.90747e+2	1.11678e+11
1.92723e+2	1.12188e+11
1.94720e+2	1.12698e+11
1.96738e+2	1.13207e+11
1.98777e+2	1.13715e+11
2.00836e+2	1.14223e+11
2.02917e+2	1.14729e+11
2.05020e+2	1.15235e+11
2.07145e+2	1.15739e+11
2.09291e+2	1.16242e+11
2.11460e+2	1.16744e+11
2.13651e+2	1.17245e+11
2.15865e+2	1.17744e+11
2.18102e+2	1.18242e+11
2.20362e+2	1.18738e+11
2.22645e+2	1.19232e+11
2.24952e+2	1.19724e+11
2.27283e+2	1.20215e+11
2.29639e+2	1.20703e+11
2.32018e+2	1.21189e+11
2.34422e+2	1.21674e+11
2.36852e+2	1.22155e+11
2.39306e+2	1.22635e+11
2.41786e+2	1.23112e+11
2.44291e+2	1.23586e+11
2.46822e+2	1.24058e+11
2.49380e+2	1.24526e+11
2.51964e+2	1.24992e+11
2.54575e+2	1.25455e+11
2.57213e+2	1.25915e+11
2.59878e+2	1.26372e+11
2.62571e+2	1.26825e+11
2.65292e+2	1.27275e+11
2.68041e+2	1.27721e+11
2.70819e+2	1.28164e+11
2.73625e+2	1.28603e+11
2.76460e+2	1.29038e+11
2.79325e+2	1.29469e+11
2.82220e+2	1.29896e+11
2.85144e+2	1.30319e+11
2.88099e+2	1.30737e+11
2.91084e+2	1.31151e+11
2.94101e+2	1.31561e+11
2.97148e+2	1.31966e+11
3.00227e+2	1.32366e+11
3.03338e+2	1.32761e+11
3.06481e+2	1.33151e+11
3.09657e+2	1.33536e+11
3.12866e+2	1.33916e+11
3.16108e+2	1.34291e+11
3.19384e+2	1.34660e+11
3.22693e+2	1.35023e+11
3.26037e+2	1.35380e+11
3.29416e+2	1.35732e+11
3.32829e+2	1.36078e+11
3.36278e+2	1.36417e+11
3.39763e+2	1.36750e+11
3.43283e+2	1.37077e+11
3.46840e+2	1.37398e+11
3.50434e+2	1.37711e+11
3.54066e+2	1.38018e+11
3.57735e+2	1.38318e+11
3.61442e+2	1.38611e+11
3.65187e+2	1.38897e+11
3.68971e+2	1.39175e+11
3.72795e+2	1.39447e+11
3.76658e+2	1.39710e+11
3.80561e+2	1.39966e+11
3.84504e+2	1.40214e+11
3.88488e+2	1.40454e+11
3.92514e+2	1.40686e+11
3.96581e+2	1.40909e+11
4.00691e+2	1.41125e+11
4.04843e+2	1.41331e+11
4.09038e+2	1.41530e+11
4.13277e+2	1.41719e+11
4.17559e+2	1.41899e+11
4.21886e+2	1.42071e+11
4.26258e+2	1.42233e+11
4.30675e+2	1.42386e+11
4.35137e+2	1.42530e+11
4.39646e+2	1.42664e+11
4.44202e+2	1.42788e+11
4.48805e+2	1.42903e+11
4.53456e+2	1.43008e+11
4.58155e+2	1.43102e+11
4.62902e+2	1.43187e+11
4.67699e+2	1.43261e+11
4.72545e+2	1.43324e+11
4.77442e+2	1.43378e+11
4.82389e+2	1.43420e+11
4.87388e+2	1.43452e+11
4.92438e+2	1.43472e+11
4.97541e+2	1.43482e+11
5.02697e+2	1.43481e+11
5.07906e+2	1.43468e+11
5.13169e+2	1.43444e+11
5.18486e+2	1.43408e+11
5.23859e+2	1.43361e+11
5.29288e+2	1.43302e+11
5.34772e+2	1.43232e+11
5.40314e+2	1.43149e+11
5.45913e+2	1.43055e+11
5.51569e+2	1.42948e+11
5.57285e+2	1.42830e+11
5.63060e+2	1.42699e+11
5.68894e+2	1.42555e+11
5.74789e+2	1.42399e+11
5.80745e+2	1.42231e+11
5.86763e+2	1.42050e+11
5.92843e+2	1.41857e+11
5.98987e+2	1.41650e+11
6.05194e+2	1.41431e+11
6.11465e+2	1.41199e+11
6.17801e+2	1.40955e+11
6.24203e+2	1.40697e+11
6.30671e+2	1.40426e+11
6.37206e+2	1.40142e+11
6.43809e+2	1.39845e+11
6.50480e+2	1.39534e+11
6.57221e+2	1.39211e+11
6.64031e+2	1.38874e+11
6.70912e+2	1.38524e+11
6.77864e+2	1.38161e+11
6.84888e+2	1.37784e+11
6.91985e+2	1.37394e+11
6.99156e+2	1.36991e+11
7.06401e+2	1.36574e+11
7.13721e+2	1.36145e+11
7.21116e+2	1.35701e+11
7.28589e+2	1.35245e+11
7.36139e+2	1.34775e+11
7.43767e+2	1.34292e+11
7.51474e+2	1.33796e+11
7.59261e+2	1.33287e+11
7.67128e+2	1.32764e+11
7.75078e+2	1.32228e+11
7.83109e+2	1.31680e+11
7.91224e+2	1.31118e+11
7.99423e+2	1.30543e+11
8.07707e+2	1.29956e+11
8.16076e+2	1.29356e+11
8.24533e+2	1.28743e+11
8.33077e+2	1.28117e+11
8.41709e+2	1.27479e+11
8.50431e+2	1.26829e+11
8.59244e+2	1.26167e+11
8.68147e+2	1.25492e+11
8.77143e+2	1.24805e+11
8.86233e+2	1.24106e+11
8.95416e+2	1.23396e+11
9.04695e+2	1.22674e+11
9.14069e+2	1.21940e+11
9.23541e+2	1.21196e+11
9.33111e+2	1.20440e+11
9.42780e+2	1.19673e+11
9.52550e+2	1.18895e+11
9.62420e+2	1.18107e+11
9.72393e+2	1.17308e+11
9.82469e+2	1.16499e+11
9.92650e+2	1.15680e+11
1.00294e+3	1.14851e+11
1.01333e+3	1.14013e+11
1.02383e+3	1.13165e+11
1.03444e+3	1.12308e+11
1.04516e+3	1.11442e+11
1.05599e+3	1.10568e+11
1.06693e+3	1.09685e+11
1.07799e+3	1.08794e+11
1.08916e+3	1.07895e+11
1.10044e+3	1.06988e+11
1.11185e+3	1.06074e+11
1.12337e+3	1.05153e+11
1.13501e+3	1.04225e+11
1.14677e+3	1.03291e+11
1.15865e+3	1.02350e+11
1.17066e+3	1.01404e+11
1.18279e+3	1.00452e+11
1.19505e+3	9.94948e+10
1.20743e+3	9.85322e+10
1.21994e+3	9.75655e+10
1.23258e+3	9.65942e+10
1.24535e+3	9.56192e+10
1.25826e+3	9.46406e+10
1.27130e+3	9.36584e+10
1.28447e+3	9.26736e+10
1.29778e+3	9.16859e+10
1.31123e+3	9.06962e+10
1.32482e+3	8.97045e+10
1.33854e+3	8.87114e+10
1.35241e+3	8.77170e+10
1.36643e+3	8.67219e+10
1.38059e+3	8.57263e+10
1.39489e+3	8.47306e+10
1.40935e+3	8.37352e+10
1.42395e+3	8.27405e+10
1.43871e+3	8.17468e+10
1.45362e+3	8.07545e+10
1.46868e+3	7.97639e+10
1.48390e+3	7.87754e+10
1.49927e+3	7.77895e+10
1.51481e+3	7.68063e+10
1.53051e+3	7.58265e+10
1.54637e+3	7.48502e+10
1.56239e+3	7.38779e+10
1.57858e+3	7.29098e+10
1.59494e+3	7.19465e+10
1.61146e+3	7.09882e+10
1.62816e+3	7.00353e+10
1.64503e+3	6.90882e+10
1.66208e+3	6.81471e+10
1.67930e+3	6.72125e+10
1.69671e+3	6.62847e+10
1.71429e+3	6.53640e+10
1.73205e+3	6.44508e+10
1.75000e+3	6.35453e+10
1.76813e+3	6.26480e+10
1.78645e+3	6.17590e+10
1.80497e+3	6.08788e+10
1.82367e+3	6.00077e+10
1.84257e+3	5.91458e+10
1.86166e+3	5.82936e+10
1.88095e+3	5.74514e+10
1.90044e+3	5.66193e+10
1.92014e+3	5.57976e+10
1.94003e+3	5.49867e+10
1.96014e+3	5.41868e+10
1.98045e+3	5.33981e+10
2.00097e+3	5.26208e+10
2.02170e+3	5.18553e+10
2.04265e+3	5.11016e+10
2.06382e+3	5.03601e+10
2.08521e+3	4.96309e+10
2.10681e+3	4.89142e+10
2.12864e+3	4.82102e+10
2.15070e+3	4.75190e+10
2.17299e+3	4.68409e+10
2.19550e+3	4.61760e+10
2.21826e+3	4.55244e+10
2.24124e+3	4.48862e+10
2.26447e+3	4.42617e+10
2.28793e+3	4.36508e+10
2.31164e+3	4.30537e+10
2.33559e+3	4.24705e+10
2.35979e+3	4.19013e+10
2.38425e+3	4.13461e+10
2.40895e+3	4.08050e+10
2.43392e+3	4.02780e+10
2.45914e+3	3.97652e+10
2.48462e+3	3.92666e+10
2.51037e+3	3.87822e+10
2.53638e+3	3.83120e+10
2.56266e+3	3.78561e+10
2.58922e+3	3.74144e+10
2.61605e+3	3.69868e+10
2.64315e+3	3.65734e+10
2.67054e+3	3.61741e+10
2.69822e+3	3.57889e+10
2.72618e+3	3.54176e+10
2.75443e+3	3.50603e+10
2.78297e+3	3.47168e+10
2.81181e+3	3.43871e+10
2.84094e+3	3.40710e+10
2.87038e+3	3.37684e+10
2.90012e+3	3.34793e+10
2.93018e+3	3.32035e+10
2.96054e+3	3.29409e+10
2.99122e+3	3.26913e+10
3.02221e+3	3.24546e+10
3.05353e+3	3.22307e+10
3.08517e+3	3.20193e+10
3.11714e+3	3.18204e+10
3.14944e+3	3.16337e+10
3.18208e+3	3.14591e+10
3.21505e+3	3.12964e+10
3.24837e+3	3.11455e+10
3.28203e+3	3.10060e+10
3.31604e+3	3.08779e+10
3.35040e+3	3.07610e+10
3.38512e+3	3.06549e+10
3.42019e+3	3.05596e+10
3.45563e+3	3.04749e+10
3.49144e+3	3.04004e+10
3.52762e+3	3.03361e+10
3.56418e+3	3.02817e+10
3.60111e+3	3.02369e+10
3.63842e+3	3.02016e+10
3.67613e+3	3.01756e+10
3.71422e+3	3.01586e+10
3.75271e+3	3.01504e+10
3.79159e+3	3.01508e+10
3.83088e+3	3.01596e+10
3.87058e+3	3.01766e+10
3.91069e+3	3.02015e+10
3.95121e+3	3.02342e+10
3.99216e+3	3.02744e+10
4.03352e+3	3.03219e+10
4.07532e+3	3.03764e+10
4.11755e+3	3.04379e+10
4.16022e+3	3.05061e+10
4.20333e+3	3.05808e+10
4.24688e+3	3.06618e+10
4.29089e+3	3.07488e+10
4.33535e+3	3.08418e+10
4.38028e+3	3.09405e+10
4.42567e+3	3.10447e+10
4.47153e+3	3.11542e+10
4.51786e+3	3.12690e+10
4.56468e+3	3.13887e+10
4.61198e+3	3.15132e+10
4.65977e+3	3.16423e+10
4.70805e+3	3.17760e+10
4.75684e+3	3.19139e+10
4.80613e+3	3.20561e+10
4.85593e+3	3.22022e+10
4.90625e+3	3.23523e+10
4.95709e+3	3.25060e+10
5.00846e+3	3.26634e+10
5.06036e+3	3.28242e+10
5.11279e+3	3.29883e+10
5.16577e+3	3.31556e+10
5.21930e+3	3.33261e+10
5.27339e+3	3.34994e+10
5.32803e+3	3.36756e+10
5.38324e+3	3.38546e+10
5.43903e+3	3.40362e+10
5.49539e+3	3.42203e+10
5.55233e+3	3.44069e+10
5.60987e+3	3.45958e+10
5.66800e+3	3.47870e+10
5.72673e+3	3.49803e+10
5.78607e+3	3.51758e+10
5.84603e+3	3.53732e+10
5.90661e+3	3.55726e+10
5.96781e+3	3.57738e+10
6.02965e+3	3.59768e+10
6.09213e+3	3.61816e+10
6.15526e+3	3.63880e+10
6.21904e+3	3.65960e+10
6.28349e+3	3.68056e+10
6.34860e+3	3.70167e+10
6.41439e+3	3.72292e+10
6.48085e+3	3.74431e+10
6.54801e+3	3.76583e+10
6.61586e+3	3.78749e+10
6.68442e+3	3.80927e+10
6.75368e+3	3.83118e+10
6.82367e+3	3.85320e+10
6.89437e+3	3.87533e+10
6.96582e+3	3.89758e+10
7.03800e+3	3.91993e+10
7.11093e+3	3.94239e+10
7.18461e+3	3.96495e+10
7.25906e+3	3.98761e+10
7.33428e+3	4.01036e+10
7.41028e+3	4.03320e+10
7.48707e+3	4.05614e+10
7.56465e+3	4.07916e+10
7.64304e+3	4.10227e+10
7.72224e+3	4.12546e+10
7.80226e+3	4.14873e+10
7.88311e+3	4.17208e+10
7.96479e+3	4.19550e+10
8.04733e+3	4.21900e+10
8.13072e+3	4.24257e+10
8.21497e+3	4.26621e+10
8.30009e+3	4.28991e+10
8.38610e+3	4.31369e+10
8.47300e+3	4.33752e+10
8.56080e+3	4.36142e+10
8.64951e+3	4.38538e+10
8.73914e+3	4.40939e+10
8.82970e+3	4.43347e+10
8.92119e+3	4.45759e+10
9.01364e+3	4.48177e+10
9.10704e+3	4.50600e+10
9.20141e+3	4.53028e+10
9.29676e+3	4.55460e+10
9.39309e+3	4.57897e+10
9.49042e+3	4.60338e+10
9.58877e+3	4.62783e+10
9.68813e+3	4.65232e+10
9.78852e+3	4.67684e+10
9.88995e+3	4.70140e+10
9.99243e+3	4.72599e+10
1.00960e+4	4.75061e+10
1.02006e+4	4.77526e+10
1.03063e+4	4.79994e+10
1.04131e+4	4.82464e+10
1.05210e+4	4.84936e+10
1.06300e+4	4.87409e+10
1.07402e+4	4.89885e+10
1.08515e+4	4.92362e+10
1.09639e+4	4.94840e+10
1.10775e+4	4.97319e+10
1.11923e+4	4.99798e+10
1.13083e+4	5.02278e+10
1.14255e+4	5.04758e+10
1.15439e+4	5.07238e+10
1.16635e+4	5.09718e+10
1.17843e+4	5.12196e+10
1.19065e+4	5.14674e+10
1.20298e+4	5.17151e+10
1.21545e+4	5.19626e+10
1.22804e+4	5.22099e+10
1.24077e+4	5.24570e+10
1.25363e+4	5.27038e+10
1.26662e+4	5.29504e+10
1.27974e+4	5.31966e+10
1.29300e+4	5.34425e+10
1.30640e+4	5.36881e+10
1.31994e+4	5.39332e+10
1.33362e+4	5.41778e+10
1.34743e+4	5.44220e+10
1.36140e+4	5.46657e+10
1.37550e+4	5.49088e+10
1.38976e+4	5.51513e+10
1.40416e+4	5.53932e+10
1.41871e+4	5.56345e+10
1.43341e+4	5.58750e+10
1.44826e+4	5.61148e+10
1.46327e+4	5.63538e+10
1.47843e+4	5.65919e+10
1.49375e+4	5.68292e+10
1.50923e+4	5.70656e+10
1.52487e+4	5.73011e+10
1.54067e+4	5.75356e+10
1.55664e+4	5.77690e+10
1.57277e+4	5.80014e+10
1.58907e+4	5.82326e+10
1.60553e+4	5.84626e+10
1.62217e+4	5.86915e+10
1.63898e+4	5.89191e+10
1.65596e+4	5.91453e+10
1.67312e+4	5.93703e+10
1.69046e+4	5.95938e+10
1.70798e+4	5.98158e+10
1.72567e+4	6.00364e+10
1.74356e+4	6.02554e+10
1.76162e+4	6.04728e+10
1.77988e+4	6.06885e+10
1.79832e+4	6.09026e+10
1.81696e+4	6.11149e+10
1.83578e+4	6.13253e+10
1.85481e+4	6.15339e+10
1.87403e+4	6.17406e+10
1.89345e+4	6.19453e+10
1.91307e+4	6.21480e+10
1.93289e+4	6.23485e+10
1.95292e+4	6.25470e+10
1.97316e+4	6.27432e+10
1.99360e+4	6.29372e+10
2.01426e+4	6.31288e+10
2.03513e+4	6.33181e+10
2.05622e+4	6.35049e+10
2.07753e+4	6.36893e+10
2.09906e+4	6.38710e+10
2.12081e+4	6.40502e+10
2.14278e+4	6.42267e+10
2.16499e+4	6.44004e+10
2.18742e+4	6.45714e+10
2.21009e+4	6.47394e+10
2.23299e+4	6.49046e+10
2.25613e+4	6.50667e+10
2.27951e+4	6.52258e+10
2.30313e+4	6.53818e+10
2.32699e+4	6.55345e+10
2.35111e+4	6.56840e+10
2.37547e+4	6.58302e+10
2.40008e+4	6.59731e+10
2.42495e+4	6.61124e+10
2.45008e+4	6.62483e+10
2.47547e+4	6.63805e+10
2.50112e+4	6.65091e+10
2.52704e+4	6.66340e+10
2.55323e+4	6.67551e+10
2.57968e+4	6.68723e+10
2.60641e+4	6.69857e+10
2.63342e+4	6.70950e+10
2.66071e+4	6.72003e+10
2.68828e+4	6.73014e+10
2.71614e+4	6.73983e+10
2.74428e+4	6.74910e+10
2.77272e+4	6.75794e+10
2.80145e+4	6.76633e+10
2.83048e+4	6.77428e+10
2.85981e+4	6.78177e+10
2.88945e+4	6.78881e+10
2.91939e+4	6.79537e+10
2.94964e+4	6.80146e+10
2.98020e+4	6.80707e+10
3.01109e+4	6.81220e+10
3.04229e+4	6.81683e+10
3.07381e+4	6.82095e+10
3.10566e+4	6.82457e+10
3.13785e+4	6.82768e+10
3.17036e+4	6.83026e+10
3.20321e+4	6.83232e+10
3.23641e+4	6.83384e+10
3.26994e+4	6.83482e+10
3.30383e+4	6.83526e+10
3.33806e+4	6.83514e+10
3.37265e+4	6.83447e+10
3.40760e+4	6.83323e+10
3.44291e+4	6.83141e+10
3.47859e+4	6.82902e+10
3.51463e+4	6.82605e+10
3.55105e+4	6.82249e+10
3.58785e+4	6.81833e+10
3.62503e+4	6.81357e+10
3.66259e+4	6.80821e+10
3.70054e+4	6.80223e+10
3.73889e+4	6.79564e+10
3.77763e+4	6.78842e+10
3.81678e+4	6.78058e+10
3.85633e+4	6.77211e+10
3.89629e+4	6.76300e+10
3.93666e+4	6.75325e+10
3.97746e+4	6.74285e+10
4.01867e+4	6.73181e+10
4.06032e+4	6.72010e+10
4.10239e+4	6.70775e+10
4.14490e+4	6.69472e+10
4.18785e+4	6.68104e+10
4.23125e+4	6.66668e+10
4.27509e+4	6.65165e+10
4.31939e+4	6.63595e+10
4.36415e+4	6.61957e+10
4.40937e+4	6.60250e+10
4.45506e+4	6.58475e+10
4.50123e+4	6.56632e+10
4.54787e+4	6.54720e+10
4.59500e+4	6.52738e+10
4.64261e+4	6.50688e+10
4.69072e+4	6.48568e+10
4.73933e+4	6.46379e+10
4.78844e+4	6.44120e+10
4.83805e+4	6.41792e+10
4.88819e+4	6.39394e+10
4.93884e+4	6.36927e+10
4.99002e+4	6.34390e+10
5.04173e+4	6.31783e+10
5.09397e+4	6.29107e+10
5.14676e+4	6.26361e+10
5.20009e+4	6.23546e+10
5.25397e+4	6.20662e+10
5.30842e+4	6.17709e+10
5.36342e+4	6.14687e+10
5.41900e+4	6.11597e+10
5.47515e+4	6.08439e+10
5.53189e+4	6.05213e+10
5.58921e+4	6.01919e+10
5.64713e+4	5.98558e+10
5.70564e+4	5.95130e+10
5.76477e+4	5.91636e+10
5.82450e+4	5.88075e+10
5.88486e+4	5.84450e+10
5.94584e+4	5.80760e+10
6.00745e+4	5.77005e+10
6.06970e+4	5.73187e+10
6.13260e+4	5.69306e+10
6.19615e+4	5.65362e+10
6.26035e+4	5.61357e+10
6.32522e+4	5.57291e+10
6.39077e+4	5.53164e+10
6.45699e+4	5.48979e+10
6.52390e+4	5.44735e+10
6.59150e+4	5.40433e+10
6.65981e+4	5.36075e+10
6.72882e+4	5.31661e+10
6.79854e+4	5.27192e+10
6.86899e+4	5.22670e+10
6.94017e+4	5.18095e+10
7.01208e+4	5.13468e+10
7.08475e+4	5.08791e+10
7.15816e+4	5.04065e+10
7.23233e+4	4.99290e+10
7.30728e+4	4.94469e+10
7.38300e+4	4.89603e+10
7.45950e+4	4.84692e+10
7.53680e+4	4.79738e+10
7.61490e+4	4.74742e+10
7.69381e+4	4.69706e+10
