"Energy (eV)"	"Flux Density (ph/s/mm<sup>2</sup>/0.1%B.W.)"
8.68147e+2	1.42483e+11
8.77143e+2	1.42207e+11
8.86233e+2	1.41918e+11
8.95416e+2	1.41616e+11
9.04695e+2	1.41301e+11
9.14069e+2	1.40973e+11
9.23541e+2	1.40631e+11
9.33111e+2	1.40276e+11
9.42780e+2	1.39908e+11
9.52550e+2	1.39526e+11
9.62420e+2	1.39131e+11
9.72393e+2	1.38723e+11
9.82469e+2	1.38302e+11
9.92650e+2	1.37867e+11
1.00294e+3	1.37419e+11
1.01333e+3	1.36957e+11
1.02383e+3	1.36483e+11
1.03444e+3	1.35995e+11
1.04516e+3	1.35494e+11
1.05599e+3	1.34980e+11
1.06693e+3	1.34453e+11
1.07799e+3	1.33913e+11
1.08916e+3	1.33360e+11
1.10044e+3	1.32794e+11
1.11185e+3	1.32215e+11
1.12337e+3	1.31623e+11
1.13501e+3	1.31019e+11
1.14677e+3	1.30402e+11
1.15865e+3	1.29773e+11
1.17066e+3	1.29132e+11
1.18279e+3	1.28478e+11
1.19505e+3	1.27812e+11
1.20743e+3	1.27134e+11
1.21994e+3	1.26445e+11
1.23258e+3	1.25743e+11
1.24535e+3	1.25030e+11
1.25826e+3	1.24306e+11
1.27130e+3	1.23571e+11
1.28447e+3	1.22824e+11
1.29778e+3	1.22067e+11
1.31123e+3	1.21298e+11
1.32482e+3	1.20520e+11
1.33854e+3	1.19731e+11
1.35241e+3	1.18931e+11
1.36643e+3	1.18122e+11
1.38059e+3	1.17304e+11
1.39489e+3	1.16475e+11
1.40935e+3	1.15638e+11
1.42395e+3	1.14791e+11
1.43871e+3	1.13936e+11
1.45362e+3	1.13072e+11
1.46868e+3	1.12199e+11
1.48390e+3	1.11319e+11
1.49927e+3	1.10431e+11
1.51481e+3	1.09536e+11
1.53051e+3	1.08633e+11
1.54637e+3	1.07723e+11
1.56239e+3	1.06807e+11
1.57858e+3	1.05884e+11
1.59494e+3	1.04955e+11
1.61146e+3	1.04021e+11
1.62816e+3	1.03080e+11
1.64503e+3	1.02136e+11
1.66208e+3	1.01186e+11
1.67930e+3	1.00232e+11
1.69671e+3	9.92732e+10
1.71429e+3	9.83113e+10
1.73205e+3	9.73458e+10
1.75000e+3	9.63773e+10
1.76813e+3	9.54061e+10
1.78645e+3	9.44325e+10
1.80497e+3	9.34569e+10
1.82367e+3	9.24797e+10
1.84257e+3	9.15012e+10
1.86166e+3	9.05217e+10
1.88095e+3	8.95417e+10
1.90044e+3	8.85615e+10
1.92014e+3	8.75815e+10
1.94003e+3	8.66020e+10
1.96014e+3	8.56234e+10
1.98045e+3	8.46461e+10
2.00097e+3	8.36705e+10
2.02170e+3	8.26969e+10
2.04265e+3	8.17257e+10
2.06382e+3	8.07573e+10
2.08521e+3	7.97920e+10
2.10681e+3	7.88303e+10
2.12864e+3	7.78724e+10
2.15070e+3	7.69188e+10
2.17299e+3	7.59699e+10
2.19550e+3	7.50259e+10
2.21826e+3	7.40873e+10
2.24124e+3	7.31544e+10
2.26447e+3	7.22276e+10
2.28793e+3	7.13073e+10
2.31164e+3	7.03936e+10
2.33559e+3	6.94871e+10
2.35979e+3	6.85881e+10
2.38425e+3	6.76969e+10
2.40895e+3	6.68137e+10
2.43392e+3	6.59391e+10
2.45914e+3	6.50732e+10
2.48462e+3	6.42163e+10
2.51037e+3	6.33689e+10
2.53638e+3	6.25311e+10
2.56266e+3	6.17033e+10
2.58922e+3	6.08858e+10
2.61605e+3	6.00788e+10
2.64315e+3	5.92826e+10
2.67054e+3	5.84975e+10
2.69822e+3	5.77237e+10
2.72618e+3	5.69615e+10
2.75443e+3	5.62110e+10
2.78297e+3	5.54727e+10
2.81181e+3	5.47465e+10
2.84094e+3	5.40328e+10
2.87038e+3	5.33318e+10
2.90012e+3	5.26436e+10
2.93018e+3	5.19685e+10
2.96054e+3	5.13065e+10
2.99122e+3	5.06579e+10
3.02221e+3	5.00228e+10
3.05353e+3	4.94014e+10
3.08517e+3	4.87937e+10
3.11714e+3	4.81999e+10
3.14944e+3	4.76200e+10
3.18208e+3	4.70543e+10
3.21505e+3	4.65028e+10
3.24837e+3	4.59654e+10
3.28203e+3	4.54424e+10
3.31604e+3	4.49338e+10
3.35040e+3	4.44396e+10
3.38512e+3	4.39597e+10
3.42019e+3	4.34944e+10
3.45563e+3	4.30435e+10
3.49144e+3	4.26071e+10
3.52762e+3	4.21851e+10
3.56418e+3	4.17775e+10
3.60111e+3	4.13844e+10
3.63842e+3	4.10056e+10
3.67613e+3	4.06411e+10
3.71422e+3	4.02908e+10
3.75271e+3	3.99547e+10
3.79159e+3	3.96327e+10
3.83088e+3	3.93247e+10
3.87058e+3	3.90306e+10
3.91069e+3	3.87503e+10
3.95121e+3	3.84836e+10
3.99216e+3	3.82306e+10
4.03352e+3	3.79909e+10
4.07532e+3	3.77645e+10
4.11755e+3	3.75512e+10
4.16022e+3	3.73510e+10
4.20333e+3	3.71635e+10
4.24688e+3	3.69887e+10
4.29089e+3	3.68264e+10
4.33535e+3	3.66764e+10
4.38028e+3	3.65385e+10
4.42567e+3	3.64125e+10
4.47153e+3	3.62982e+10
4.51786e+3	3.61955e+10
4.56468e+3	3.61042e+10
4.61198e+3	3.60239e+10
4.65977e+3	3.59546e+10
4.70805e+3	3.58960e+10
4.75684e+3	3.58478e+10
4.80613e+3	3.58099e+10
4.85593e+3	3.57821e+10
4.90625e+3	3.57641e+10
4.95709e+3	3.57558e+10
5.00846e+3	3.57568e+10
5.06036e+3	3.57669e+10
5.11279e+3	3.57860e+10
5.16577e+3	3.58138e+10
5.21930e+3	3.58501e+10
5.27339e+3	3.58946e+10
5.32803e+3	3.59472e+10
5.38324e+3	3.60076e+10
5.43903e+3	3.60756e+10
5.49539e+3	3.61510e+10
5.55233e+3	3.62335e+10
5.60987e+3	3.63229e+10
5.66800e+3	3.64191e+10
5.72673e+3	3.65218e+10
5.78607e+3	3.66308e+10
5.84603e+3	3.67459e+10
5.90661e+3	3.68669e+10
5.96781e+3	3.69937e+10
6.02965e+3	3.71259e+10
6.09213e+3	3.72634e+10
6.15526e+3	3.74061e+10
6.21904e+3	3.75537e+10
6.28349e+3	3.77061e+10
6.34860e+3	3.78631e+10
6.41439e+3	3.80244e+10
6.48085e+3	3.81901e+10
6.54801e+3	3.83598e+10
6.61586e+3	3.85334e+10
6.68442e+3	3.87108e+10
6.75368e+3	3.88918e+10
6.82367e+3	3.90763e+10
6.89437e+3	3.92641e+10
6.96582e+3	3.94551e+10
7.03800e+3	3.96492e+10
7.11093e+3	3.98462e+10
7.18461e+3	4.00460e+10
7.25906e+3	4.02485e+10
7.33428e+3	4.04535e+10
7.41028e+3	4.06610e+10
7.48707e+3	4.08708e+10
7.56465e+3	4.10829e+10
7.64304e+3	4.12971e+10
7.72224e+3	4.15133e+10
7.80226e+3	4.17315e+10
7.88311e+3	4.19515e+10
7.96479e+3	4.21733e+10
8.04733e+3	4.23968e+10
8.13072e+3	4.26218e+10
8.21497e+3	4.28485e+10
8.30009e+3	4.30765e+10
8.38610e+3	4.33059e+10
8.47300e+3	4.35367e+10
8.56080e+3	4.37687e+10
8.64951e+3	4.40018e+10
8.73914e+3	4.42361e+10
8.82970e+3	4.44715e+10
8.92119e+3	4.47079e+10
9.01364e+3	4.49452e+10
9.10704e+3	4.51834e+10
9.20141e+3	4.54225e+10
9.29676e+3	4.56623e+10
9.39309e+3	4.59029e+10
9.49042e+3	4.61443e+10
9.58877e+3	4.63863e+10
9.68813e+3	4.66289e+10
9.78852e+3	4.68721e+10
9.88995e+3	4.71159e+10
9.99243e+3	4.73601e+10
1.00960e+4	4.76049e+10
1.02006e+4	4.78500e+10
1.03063e+4	4.80956e+10
1.04131e+4	4.83415e+10
1.05210e+4	4.85877e+10
1.06300e+4	4.88342e+10
1.07402e+4	4.90810e+10
1.08515e+4	4.93279e+10
1.09639e+4	4.95751e+10
1.10775e+4	4.98224e+10
1.11923e+4	5.00699e+10
1.13083e+4	5.03174e+10
1.14255e+4	5.05650e+10
1.15439e+4	5.08126e+10
1.16635e+4	5.10602e+10
1.17843e+4	5.13078e+10
1.19065e+4	5.15552e+10
1.20298e+4	5.18026e+10
1.21545e+4	5.20498e+10
1.22804e+4	5.22969e+10
1.24077e+4	5.25438e+10
1.25363e+4	5.27904e+10
1.26662e+4	5.30367e+10
1.27974e+4	5.32827e+10
1.29300e+4	5.35284e+10
1.30640e+4	5.37737e+10
1.31994e+4	5.40186e+10
1.33362e+4	5.42630e+10
1.34743e+4	5.45070e+10
1.36140e+4	5.47504e+10
1.37550e+4	5.49933e+10
1.38976e+4	5.52356e+10
1.40416e+4	5.54772e+10
1.41871e+4	5.57182e+10
1.43341e+4	5.59584e+10
1.44826e+4	5.61979e+10
1.46327e+4	5.64366e+10
1.47843e+4	5.66744e+10
1.49375e+4	5.69114e+10
1.50923e+4	5.71475e+10
1.52487e+4	5.73826e+10
1.54067e+4	5.76167e+10
1.55664e+4	5.78497e+10
1.57277e+4	5.80817e+10
1.58907e+4	5.83125e+10
1.60553e+4	5.85421e+10
1.62217e+4	5.87705e+10
1.63898e+4	5.89976e+10
1.65596e+4	5.92234e+10
1.67312e+4	5.94478e+10
1.69046e+4	5.96708e+10
1.70798e+4	5.98923e+10
1.72567e+4	6.01124e+10
1.74356e+4	6.03308e+10
1.76162e+4	6.05476e+10
1.77988e+4	6.07627e+10
1.79832e+4	6.09762e+10
1.81696e+4	6.11878e+10
1.83578e+4	6.13976e+10
1.85481e+4	6.16055e+10
1.87403e+4	6.18115e+10
1.89345e+4	6.20155e+10
1.91307e+4	6.22174e+10
1.93289e+4	6.24172e+10
1.95292e+4	6.26149e+10
1.97316e+4	6.28103e+10
1.99360e+4	6.30034e+10
2.01426e+4	6.31943e+10
2.03513e+4	6.33827e+10
2.05622e+4	6.35686e+10
2.07753e+4	6.37521e+10
2.09906e+4	6.39329e+10
2.12081e+4	6.41111e+10
2.14278e+4	6.42866e+10
2.16499e+4	6.44594e+10
2.18742e+4	6.46293e+10
2.21009e+4	6.47963e+10
2.23299e+4	6.49604e+10
2.25613e+4	6.51215e+10
2.27951e+4	6.52794e+10
2.30313e+4	6.54343e+10
2.32699e+4	6.55859e+10
2.35111e+4	6.57342e+10
2.37547e+4	6.58792e+10
2.40008e+4	6.60208e+10
2.42495e+4	6.61589e+10
2.45008e+4	6.62935e+10
2.47547e+4	6.64245e+10
2.50112e+4	6.65518e+10
2.52704e+4	6.66753e+10
2.55323e+4	6.67950e+10
2.57968e+4	6.69109e+10
2.60641e+4	6.70228e+10
2.63342e+4	6.71307e+10
2.66071e+4	6.72345e+10
2.68828e+4	6.73342e+10
2.71614e+4	6.74296e+10
2.74428e+4	6.75207e+10
2.77272e+4	6.76075e+10
2.80145e+4	6.76899e+10
2.83048e+4	6.77678e+10
2.85981e+4	6.78411e+10
2.88945e+4	6.79097e+10
2.91939e+4	6.79737e+10
2.94964e+4	6.80329e+10
2.98020e+4	6.80873e+10
3.01109e+4	6.81368e+10
3.04229e+4	6.81813e+10
3.07381e+4	6.82208e+10
3.10566e+4	6.82551e+10
3.13785e+4	6.82843e+10
3.17036e+4	6.83083e+10
3.20321e+4	6.83270e+10
3.23641e+4	6.83403e+10
3.26994e+4	6.83482e+10
3.30383e+4	6.83506e+10
3.33806e+4	6.83474e+10
3.37265e+4	6.83387e+10
3.40760e+4	6.83242e+10
3.44291e+4	6.83040e+10
3.47859e+4	6.82781e+10
3.51463e+4	6.82462e+10
3.55105e+4	6.82085e+10
3.58785e+4	6.81648e+10
3.62503e+4	6.81150e+10
3.66259e+4	6.80592e+10
3.70054e+4	6.79973e+10
3.73889e+4	6.79292e+10
3.77763e+4	6.78548e+10
3.81678e+4	6.77741e+10
3.85633e+4	6.76871e+10
3.89629e+4	6.75938e+10
3.93666e+4	6.74940e+10
3.97746e+4	6.73877e+10
4.01867e+4	6.72749e+10
4.06032e+4	6.71556e+10
4.10239e+4	6.70296e+10
4.14490e+4	6.68970e+10
4.18785e+4	6.67578e+10
4.23125e+4	6.66119e+10
4.27509e+4	6.64592e+10
4.31939e+4	6.62997e+10
4.36415e+4	6.61335e+10
4.40937e+4	6.59604e+10
4.45506e+4	6.57805e+10
4.50123e+4	6.55937e+10
4.54787e+4	6.54000e+10
4.59500e+4	6.51994e+10
4.64261e+4	6.49919e+10
4.69072e+4	6.47775e+10
4.73933e+4	6.45561e+10
4.78844e+4	6.43277e+10
4.83805e+4	6.40924e+10
4.88819e+4	6.38502e+10
4.93884e+4	6.36009e+10
4.99002e+4	6.33448e+10
5.04173e+4	6.30816e+10
5.09397e+4	6.28115e+10
5.14676e+4	6.25345e+10
5.20009e+4	6.22505e+10
5.25397e+4	6.19597e+10
5.30842e+4	6.16619e+10
5.36342e+4	6.13573e+10
5.41900e+4	6.10459e+10
5.47515e+4	6.07276e+10
5.53189e+4	6.04026e+10
5.58921e+4	6.00708e+10
5.64713e+4	5.97323e+10
5.70564e+4	5.93872e+10
5.76477e+4	5.90354e+10
5.82450e+4	5.86771e+10
5.88486e+4	5.83122e+10
5.94584e+4	5.79409e+10
6.00745e+4	5.75632e+10
6.06970e+4	5.71791e+10
6.13260e+4	5.67887e+10
6.19615e+4	5.63922e+10
6.26035e+4	5.59895e+10
6.32522e+4	5.55807e+10
6.39077e+4	5.51660e+10
6.45699e+4	5.47453e+10
6.52390e+4	5.43189e+10
6.59150e+4	5.38867e+10
6.65981e+4	5.34489e+10
6.72882e+4	5.30055e+10
6.79854e+4	5.25567e+10
6.86899e+4	5.21026e+10
6.94017e+4	5.16433e+10
7.01208e+4	5.11788e+10
7.08475e+4	5.07093e+10
7.15816e+4	5.02350e+10
7.23233e+4	4.97559e+10
7.30728e+4	4.92721e+10
7.38300e+4	4.87839e+10
7.45950e+4	4.82913e+10
