# energy[keV] vert_div_fwhm[mrad] vert_div_rms[mrad] flux[ph/s/0.1%/100mA]
3.120000e+02 8.656620e-02 3.564001e-02 1.059043e+10
3.130000e+02 8.641665e-02 3.558278e-02 1.034033e+10
3.140000e+02 8.626642e-02 3.552588e-02 1.009611e+10
3.150000e+02 8.611574e-02 3.546931e-02 9.857639e+09
3.160000e+02 8.596687e-02 3.541298e-02 9.624790e+09
3.170000e+02 8.581869e-02 3.535692e-02 9.397398e+09
3.180000e+02 8.567255e-02 3.530110e-02 9.175296e+09
3.190000e+02 8.552573e-02 3.524554e-02 8.958419e+09
3.200000e+02 8.538028e-02 3.519035e-02 8.746644e+09
3.210000e+02 8.523527e-02 3.513548e-02 8.539831e+09
3.220000e+02 8.509164e-02 3.508093e-02 8.337884e+09
3.230000e+02 8.494850e-02 3.502661e-02 8.140637e+09
3.240000e+02 8.480827e-02 3.497249e-02 7.948113e+09
3.250000e+02 8.466850e-02 3.491856e-02 7.760082e+09
3.260000e+02 8.452940e-02 3.486505e-02 7.576431e+09
3.270000e+02 8.439145e-02 3.481188e-02 7.397118e+09
3.280000e+02 8.425168e-02 3.475879e-02 7.222073e+09
3.290000e+02 8.411190e-02 3.470595e-02 7.051177e+09
3.300000e+02 8.397440e-02 3.465342e-02 6.884198e+09
3.310000e+02 8.383872e-02 3.460106e-02 6.721260e+09
3.320000e+02 8.370122e-02 3.454896e-02 6.562070e+09
3.330000e+02 8.356553e-02 3.449726e-02 6.406708e+09
3.340000e+02 8.343326e-02 3.444591e-02 6.254880e+09
3.350000e+02 8.329894e-02 3.439480e-02 6.106728e+09
3.360000e+02 8.316394e-02 3.434387e-02 5.962005e+09
3.370000e+02 8.303007e-02 3.429304e-02 5.820774e+09
3.380000e+02 8.289780e-02 3.424246e-02 5.682796e+09
3.390000e+02 8.276393e-02 3.419212e-02 5.548113e+09
3.400000e+02 8.263121e-02 3.414223e-02 5.416649e+09
3.410000e+02 8.250098e-02 3.409284e-02 5.288176e+09
3.420000e+02 8.237257e-02 3.404349e-02 5.162797e+09
3.430000e+02 8.224347e-02 3.399421e-02 5.040330e+09
3.440000e+02 8.211302e-02 3.394544e-02 4.920788e+09
3.450000e+02 8.198734e-02 3.389713e-02 4.803981e+09
3.460000e+02 8.186029e-02 3.384872e-02 4.690013e+09
3.470000e+02 8.173279e-02 3.380054e-02 4.578662e+09
3.480000e+02 8.160892e-02 3.375279e-02 4.469996e+09
3.490000e+02 8.148188e-02 3.370553e-02 4.363848e+09
3.500000e+02 8.135665e-02 3.365840e-02 4.260260e+09
3.510000e+02 8.123324e-02 3.361150e-02 4.159092e+09
3.520000e+02 8.110937e-02 3.356486e-02 4.060280e+09
3.530000e+02 8.098415e-02 3.351811e-02 3.963883e+09
3.540000e+02 8.086255e-02 3.347169e-02 3.869700e+09
3.550000e+02 8.073869e-02 3.342579e-02 3.777772e+09
3.560000e+02 8.061482e-02 3.338023e-02 3.688011e+09
3.570000e+02 8.049414e-02 3.333474e-02 3.600385e+09
3.580000e+02 8.037028e-02 3.328947e-02 3.514821e+09
3.590000e+02 8.024846e-02 3.324472e-02 3.431285e+09
3.600000e+02 8.012686e-02 3.320023e-02 3.349733e+09
3.610000e+02 8.000414e-02 3.315573e-02 3.270087e+09
3.620000e+02 7.988554e-02 3.311132e-02 3.192351e+09
3.630000e+02 7.976691e-02 3.306755e-02 3.116432e+09
3.640000e+02 7.965009e-02 3.302387e-02 3.042313e+09
3.650000e+02 7.953418e-02 3.298048e-02 2.969964e+09
3.660000e+02 7.941986e-02 3.293763e-02 2.899304e+09
3.670000e+02 7.930599e-02 3.289517e-02 2.830333e+09
3.680000e+02 7.919213e-02 3.285245e-02 2.762983e+09
3.690000e+02 7.907963e-02 3.281023e-02 2.697237e+09
3.700000e+02 7.896576e-02 3.276851e-02 2.633036e+09
3.710000e+02 7.884872e-02 3.272684e-02 2.570387e+09
3.720000e+02 7.873622e-02 3.268502e-02 2.509185e+09
3.730000e+02 7.862076e-02 3.264375e-02 2.449457e+09
3.740000e+02 7.850712e-02 3.260300e-02 2.391151e+09
3.750000e+02 7.839621e-02 3.256261e-02 2.334183e+09
3.760000e+02 7.828826e-02 3.252233e-02 2.278610e+09
3.770000e+02 7.817576e-02 3.248262e-02 2.224324e+09
3.780000e+02 7.807144e-02 3.244318e-02 2.171354e+09
3.790000e+02 7.795507e-02 3.240355e-02 2.119603e+09
